Name,Code,Factoid ID,Location,Pleiades,Geonames,Source,Source loc,Description in PBW,Releven formula,RELEVEN location type,Date,Dating authority,Outside source,Notes
Konstantinos,61,236797,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,133.1,Constantinople: defeated Diogenes (<Romanos 4>) and returned to Constantinople,Konstantinos 61: Constantinople: Specfies presence ,Specifies presence,,,,
Alexios,1,236820,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,155.26,Constantinople: left Ankyra in order to gather the gold needed for his brother (<Isaakios 61>)'s ransom at Constantinople,Alexios 1: Constantinople: Does not specify presence,Does not specify presence,,,,
Alexios,1,236823,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,157.29,Constantinople: spent three days at Ankyra and left together with his brother (<Isaakios 61>) for Constantinople,Alexios 1: Constantinople: Does not specify presence,Does not specify presence,,,,
Isaakios,61,236824,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,157.29,Constantinople: spent three days at Ankyra and left together with his brother (<Alexios 1>) for Constantinople,Isaakios 61: Constantinople: Does not specify presence,Does not specify presence,,,,
Alexios,1,236832,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,165.32,Constantinople: escaped unscathed with his men the Turkish attack at Dekte and within four days reached Constantinople,Alexios 1:Constantinople: Specifies presence ,Specifies presence,,,,
Arabates,101,236833,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,165.32,Constantinople: escaped unscathed with <Alexios 1> and his men the Turkish attack at Dekte and within four days reached Constantinople,Arabates 101: Constantinople: Specifies presence ,Specifies presence,,,,
Chaskares,101,447016,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,165.32,Constantinople: escaped unscathed with <Alexios 1> and his men from the Turkish attack at Dekte and within four days reached Constantinople,Chaskares 101: Constantinople: Specifies presence ,Specifies presence,,,,
Andronikos,61,236850,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,"173.15, 209.16",Constantinople: was sent by <Roussel 61> at his father (<Ioannes 62>)'s request to be treated for his wounds at Constantinople,Andronikos 61: Constantinople: Specifies presence ,Specifies presence,,,,
Alexios,1,236883,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,201.9,Constantinople: returned (from Herakleia) and was welcomed by the emperor (<Michael 7>) at  Constantinople,Alexios 1: Constantinople: Specifies presence ,Specifies presence,,,,
Aimilianos,61,236889,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,205.15,Constantinople: compelled to obey the orders of the emperor (<Michael 7>) went to Laodikeia and from there sailed to Constantinople,Aimilianos 61: Constantinople: Specifies presence ,Specifies presence,,,,
Nikephoros,62,236892,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,211.17,Constantinople: was summoned by the emperor (<Michael 7>) from Adrianople to Constantinople,Nikephoros 62: Constantinople:Specifies presence ,Specifies presence,,,,
Nikephoros,61,236901,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,217.23,Constantinople: agreed with <Ioannes 61> Bryennios on their plot and remained in Constantinople,Nikephoros 61: Constantinople: Specifies presence ,Specifies presence,,,,
Ioannes,61,236898,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,217.5,Constantinople: defeated the Scythians and returned to Constantinople,Ioannes 61: Constantinople: Specifies presence ,Specifies presence,,,,
Ioannes,61,236914,Constantinople: Blachernai,,,Bryennios,233.16,Constantinople: Blachernai: arrived near Constantinople: Blachernai and pitched his camp opposite the palace of  Blachernai,"Ioannes 61: Constantinople, Balchernai: Specifies presence near",Specifies presence near,,,,
Ioannes,61,236913,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,233.6-7,Constantinople: was sent by his brother (<Nikephoros 62>) with an army to Constantinople,Ioannes 61: Constantinople: Specifies presence near,Specifies presence near,,,,
Ioannes,61,236916,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,235.10-11,Constantinople: decided to besiege Constantinople,Ioannes 61: Constantinople: Specifies presence near,Specifies presence near,,,,
Michael,7,236930,Constantinople: Blachernai,,,Bryennios,245.9-10,Constantinople: Blachernai: happened to be at the same time as the kaisar (<Ioannes 62>) at the church of  Blachernai,"Michael 7: Constantinople, Blachernai: Specifies presence",Specifies presence,,,,
Michael,7,236931,Constantinople: Blachernai,,,Bryennios,249.4,Constantinople: Blachernai: wrote a letter of abdication and fled to the church of the Mother of God at  Blachernai,"Michael 7: Constantinople, Blachernai: Specifies presence",Specifies presence,,,,
Nikephoros,62,236944,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,259.12,"Constantinople: learnt of the revolt against <Michael 7>, gathered his troops, and marched against Constantinople",Nikephoros 62: Constantinople: Does not specify presence ,Does not specify presence,,,,
Alexios,1,236959,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,281.27-28,Constantinople: took his captive (<Nikephoros 62> Bryennios) and left for Constantinople,Alexios 1: Constantinople: Does not specify presence ,Does not specify presence,,,,
Alexios,1,236963,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,283.21,Constantinople: left for Adrianople after spending three days outside Constantinople,Alexios 1: Constantinople: Specifes presence near,Specifies presence near,,,,
Alexios,1,236981,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,297.23,Constantinople: returned after his victory over Basilakes (<Nikephoros 61>) to Constantinople,Alexios 1: Constantinople: Specifies presence ,Specifies presence,,,,
Alexios,1,236991,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,299.24-25,Constantinople: completed his campaign against the Pechenegs and returned to Constantinople,Alexios 1: Constantinople: Specifies presence ,Specifies presence,,,,
Basileios,61,237010,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,311.13-14,Constantinople: returned to Constantinople,Basileios 61: Constantinople: Specifies presence ,Specifies presence,,,,
Ioannes,64,237005,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,311.9,Constantinople: returned after the campaign against <Nikephoros 115> Melissenos to Constantinople,Ioannes 64: Constantinople: Specifies presence ,Specifies presence,,,,
Isaakios,101,237007,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,311.9,Constantinople: returned after the campaign against <Nikephoros 115> Melissenos to Constantinople,Isaakios 101: Constantinople: Specifies presence ,Specifies presence,,,,
Georgios,61,237003,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,"311.9, 311.13-14",Constantinople: returned after the campaign against <Nikephoros 115> Melissenos to Constantinople,Georgios 61: Constantinople: Specifies presence ,Specifies presence,,,,
Konstantios,61,236712,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,57.19-20,"Constantinople: being taken to be placed on the throne, he met the hostility of the populace in the streets of Connstantinople",Konstantios 61: Constantinople: Specifies presence ,Specifies presence,,,,
Alexios,1,236713,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,57.19-20,"Constantinople: intending to place <Konstantios 61> on the throne, he met the hostility of the populace in the  streets of Constantinople",Alexios 1: Constantinople: Specifies presence ,Specifies presence,,,,
Alexios,1,236718,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,63.22,"Constantinople: fearing for his safety, left for Adrianople, abandoning Constantinople",Alexios 1: Constantinople: Specifies presence ,Specifies presence,,,,
Alexios,1,236714,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,63.6-7,Constantinople: handed over the vanquished <Nikephoros 62> Bryennios and <Nikephoros 61> Basilakes to the emperor (<Nikephoros 3>) at Constantinople,Alexios 1: Constantinople: Specifies presence ,Specifies presence,,,,
Nikephoros,62,236715,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,63.6-7,Constantinople: vanquished and imprisoned by <Alexios 1> Komnenos he was then handed over to the emperor (<Nikephoros 3>) at Constantinople,Nikephoros 62: Constantinople: Specifies presence ,Specifies presence,,,,
Nikephoros,61,236716,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,63.6-7,"Constantinople: vanquished and imprisoned by <Alexios 1> Komnenos, he was then handed over to the emperor (<Nikephoros 3>) at Constantinople",Nikephoros 61: Constantinople: Specifies presence ,Specifies presence,,,,
Nikephoros,3,236717,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,63.6-7,Constantinople: was handed over the vanquished rebels <Nikephoros 62> Bryennios and <Nikephoros 61> Basilakes by <Alexios 1> Komnenos at Constantinople,Nikephoros 3: Constantinople: Specifies presence ,Specifies presence,,,,
Alexios,1,236720,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,67.5,Constantinople: was proclaimed emperor and then entered Constantinople,Alexios 1: Constantinople: Specifies presence ,Specifies presence,,,,
Alexios,1,438856,Constantinople: Christos Philanthropos,,,"Christos Philanthropos, note",33,Constantinople: Christos Philanthropos: was founder of the monastery of Christos Philanthropos,"Alexios 1: Constantinople, Christos Philanthropos: Does not specify presence ",Does not specify presence,,,,
Kosmas,11,224982,Constantinople,https://pleiades.stoa.org/places/520998,,Chrysobull of 1079,30,Constantinople: was archbishop (patriarch) of Constantinople,Kosmas 11: Constantinople: Specifies presence (Dignity),Dignity,J 1079,,,
Georgios,185,225000,Antioch (Pisidia),https://pleiades.stoa.org/places/609307,,Chrysobull of 1079,31.18,Antioch (Pisidia): was metropolitan of Antioch (Pisidia),Georgios 185: Antioch: Specifies presence (Dignity),Dignity,J 1079,,,
Theophilos,101,225009,Koloneia (?),,,Chrysobull of 1079,31.27,Koloneia (?): was metropolitan of Koloneia (?),Theophilos 101: Koloneia (?): Specifies presence (Dignity),Dignity,J 1079,,,
Nikolaos,13,444575,Constantinople,https://pleiades.stoa.org/places/520998,,Clement III to Basileios of Calabria,60.10,Constantinople: was patriarch of Constantinople,Nikolaos 13: Constantinople: Specifies presence (Dignity),Dignity,,,,
Anonymus,916,444565,Grottaferrata (not far from Rome),https://pleiades.stoa.org/places/422940,,Clement III to Basileios of Calabria,60.14,Grottaferrata (not far from Rome): was hegoumenos of the monastery of Grottaferrata,Anonymus 916: Grottaferrata (not far from Rome): Specifies presence (Dignity),Dignity,,,,
Anonymus,729,438001,Bizye (Thrace),https://pleiades.stoa.org/places/511190,,Council of 1147,310,Bizye (Thrace): was archbishop of Bizye,Anonymus 729: Bizye (Thrace):  Specifies presence (Dignity),Dignity,,,,
Kosmas,12,437911,Constantinople,https://pleiades.stoa.org/places/520998,,Council of 1147,"307, tit",Constantinople: was deposed as patriarch of Constantinople,Kosmas 12: Constantinople: Specifies presence (Dignity),Dignity,,,,
Konstantinos,25004,438433,Constantinople,https://pleiades.stoa.org/places/520998,,Council of 1157,317,Constantinople: was patriarch of Constantinople,Konstantinos 25004: Constantinople: Specifies presence (Dignity),Dignity,,,,
Dominikos,101,434882,Grado,,,Domenico of Grado,205.6,Grado: Aquileia: he was archbishop of Grado or Aquileia,Dominikos 101: Grado: Aquileia: Specifies presence (Dignity),Dignity,,,,
Eustathios,61,373992,Constantinople,https://pleiades.stoa.org/places/520998,,Eustathios Romaios,Peira 18.5,Constantinople: restricted rules over sea-views to Constantinople,Eustathios 61: Constantinople: Specifies presence ,Specifies presence,,,,
Michael,207,373991,Constantinople,https://pleiades.stoa.org/places/520998,,Eustathios Romaios,"Ralles-Potles V, 36",Constantinople: supported <Eustathios 61>’s conclusions in Constantinople,Michael 207: Constantinople: Specifies presence ,Specifies presence,,,,
Bohemond,61,442769,"Baalbek (Helioupolis, Malbec)",https://pleiades.stoa.org/places/678179,,Eustathios: Capture of Thessalonike,1.34.5,"Baalbek (Helioupolis, Malbec): went northwards via Banyas to Baalbek (Helioupolis, Malbec)","Bohemond 61: Baalbek (Helioupolis, Malbec):  Specifies presence ",Specifies presence,,,,
Fulcher,101,442526,Antioch (Pisidia),https://pleiades.stoa.org/places/609307,,Fulcher of Chartres,1.13.1,Antioch (Pisidia): stressed the sufferings of the journey around Antioch in Pisidia,Fulcher 101: Antioch (Pisidia): Specifies presence ,Specifies presence,,,,
Godfrey,51,442661,Sarepta (near Sidon),https://pleiades.stoa.org/places/678374,,Fulcher of Chartres,1.25.10,"Sarepta (near Sidon): with the other crusaders, went on via Sidon to Sarepta (near Sidon, antiquarian toponym?)",Godfrey 51: Sarepta (near Sidon): Specifies presence ,Specifies presence,J 1099,Fulcher of Chartres,,
Godfrey,51,442663,Ziph (near Acre),https://pleiades.stoa.org/places/688047,,Fulcher of Chartres,1.25.11,"Ziph (near Acre): with the other crusaders, went on via Tyre to Ziph (near Acre, antiquarian toponym?)",Godfrey 51: Ziph (near Acre): Specifies presence ,Specifies presence,J 1099,Fulcher of Chartres,,
Godfrey,51,442666,"Dora (near Caesarea, Palestine)",,,Fulcher of Chartres,1.25.11,"Dora (near Caesarea, Palestine): with the other crusaders, went on via Haifa to Dora (near Caesarea, antiquarian toponym?)","Godfrey 51: Dora (near Caesarea, Palestine): Specifies presence ",Specifies presence,J 1099,Fulcher of Chartres,,
Baldwin,52,442679,Emmaeus (Palestine),,,Fulcher of Chartres,1.25.13,"Emmaeus (Palestine): as the last stop before Jerusalem, camped at Emmaeus",Baldwin 52: Emmaeus (Palestine): Specifies presence ,Specifies presence,J 1099,Fulcher of Chartres,,
Tancred,61,442680,Emmaeus (Palestine),,,Fulcher of Chartres,1.25.13,"Emmaeus (Palestine): as the last stop before Jerusalem, camped at Emmaeus",Tancred 61:Emmaeus (Palestine): Specifies presence ,Specifies presence,J 1099,Fulcher of Chartres,,
Raymond,61,442720,Constantinople,https://pleiades.stoa.org/places/520998,,Fulcher of Chartres,1.32.1,"Constantinople: after the Crusade, left <Anonyma 4007> at Laodikeia and went to Constantinople",Raymond 61: Constantinople: Specifies presence ,Specifies presence,J 1099,Fulcher of Chartres,,
Robert,62,442722,Constantinople,https://pleiades.stoa.org/places/520998,,Fulcher of Chartres,1.32.1,"Constantinople: After the Crusade, went home via Constantinople",Robert 62: Constantinople: Specifies presence ,Specifies presence,J 1099,Fulcher of Chartres,,
